Chemical_Name,SMILES,Type,Within Domain of Applicability
1,NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl,1,TRUE
2,CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C,0,TRUE
3,[Br-].C[N+](C)(C)CCO,0,TRUE
4,Br.CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1,0,TRUE
5,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0,TRUE
6,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C,0,FALSE
7,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,0,FALSE
8,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,0,TRUE
9,CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,0,TRUE
10,[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,0,TRUE
11,CCC1(CC)C(=O)NC(=O)N(C)C1=O,0,TRUE
12,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,1,TRUE
13,Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,0,TRUE
14,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,0,TRUE
15,O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1,0,TRUE
16,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12,0,TRUE
17,CC(S)C(=O)NCC(O)=O,0,TRUE
18,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,0,TRUE
19,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,0,TRUE
20,CN1CCC[C@H]1C1=CN=CC=C1,0,TRUE
21,NC(CC1=CNC2=CC=CC=C12)C(O)=O,1,TRUE
22,[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O,1,TRUE
23,CC1=CC(=O)NC(=S)N1,0,TRUE
